time,HLD_35-AIT-1035.PV,HLD_35-AIT-1034.PV,HLD_35-TIC-0004.,HLD_35-TIC-0014.,HLD_35-SI-1303.,HLD_35-SI-1203.,HLD_35-TI-0040.,HLD_35-TI-0020.,HLD_35-PI-0005.,HLD_35-FIT-1020.INUSE2,HLD_35-TIT-0015.,HLD_35-PI-0015.,HLD_30-TI-0023.,HLD_30-PIT-0009.,HLD_30-FIT-1002.,HLD_30-TI-0013.,HLD_30-PIT-1013.,HLD_30-PIC-1004.,HLD_30-TI-1002.,HLD_30-TIC-1003.,HLD_30-FIC-1000.,HLD_30-TIT-1027A.,HLD_30-PIT-1007B.,HLD_30-PDI-1016A.,HLD_30-PDI-1016B.,HLD_30-PDI-1017.,HLD_30-PDI-1009.,HLD_30-PDI-1015.,HLD_30-TI-1011.,HLD_30-TI-1010.,HLD_30-TI-1014.,HLD_30-TI-1009.,HLD_30-PDI-1007.,HLD_30-PDI-1021.,HLD_30-TI-1015.,HLD_30-TI-1016.,HLD_30-TI-1026.,HLD_30-TI-1017.,HLD_30-TIT-1023.,HLD_30-PI-1002A.
23.07.2021 12:00,1.928398371,1.499031067,12.90916538,20.44428635,10109.9375,18.92948341,20.61153603,12.98402023,-0.08248838,58.06919098,20.32206917,64.77217102,34.57748795,109.2796936,3920.997315,40.39910889,3.98027277,212.7616425,101.4447784,199.9595184,179.6815338,79.46566773,2.718058825,0.387715578,-0.012294938,0.1452609,0.182462245,0.045465179,59.43784332,160.3287354,79.58019257,185.019577,-0.223125786,-0.017959146,79.87006378,61.38005447,42.96804047,61.0056572,49.51599503,231.2975159
23.07.2021 13:00,2.039217234,1.481368303,12.94086266,20.58027649,10120.07715,19.37223434,20.50945664,12.99676704,-0.082499042,57.83874512,20.45154762,64.75814056,34.5746727,109.2281189,3925.461426,40.44559097,3.980897665,196.7852783,105.0007324,199.9680786,179.6931915,79.54998779,2.695912838,0.402083457,-0.012303263,0.144212738,0.181157976,0.045482226,59.44415283,160.139679,79.73368073,184.9978485,-0.219984517,-0.016219782,79.89805603,61.22741699,42.84148026,61.01066971,47.34507752,144.4621277
23.07.2021 14:00,2.066881895,1.406825185,12.97255898,21.09300041,10130.21777,21.45304489,20.95623779,13.04108715,-0.082509711,57.79667664,20.96176338,64.87614441,34.65919876,109.2593842,3924.515381,40.48203278,3.98152256,204.8066711,104.2032166,199.9534607,179.6613464,79.95594788,2.753055334,0.414396882,-0.012311588,0.144417092,0.181571513,0.045499273,59.47522354,160.4212647,79.41533661,184.9438477,-0.22131905,-0.017500067,79.91610718,61.47058868,42.78089905,61.01567841,48.00698853,109.9926758
23.07.2021 15:00,2.142206192,1.507604241,13.03636837,20.94572067,10140.35742,16.76208305,20.8494091,13.10853577,-0.082088672,57.75460815,20.81040955,65.0127182,34.79879379,109.3609314,3923.636231,40.51847076,3.982147694,190.0041046,103.8311005,199.9344635,179.5093079,79.54998779,2.7353971,0.410427928,-0.01229491,0.143994361,0.181632072,0.04551632,59.49004364,160.6024628,79.45396423,185.1822815,-0.222211763,-0.014884907,79.93415833,61.36284256,42.96220017,61.0206871,51.6345253,225.8749542
23.07.2021 16:00,2.00014329,1.616821647,13.10193348,20.90369797,10080.20508,21.15089417,20.95377541,13.17598438,-0.081563704,56.59780884,20.78624916,64.77423859,34.81890106,108.389183,3918.128662,40.55491257,3.982772589,205.9654694,103.6891327,199.9154663,179.4352112,79.55693817,2.722221375,0.418988347,-0.012302247,0.144385695,0.181649521,0.045533367,59.50486755,160.4504089,79.78735352,185.3451843,-0.236049801,-0.021722645,79.95220947,61.39052963,43.06653214,61.0256958,47.75782776,243.0250092
23.07.2021 17:00,1.971290827,1.324965,13.16749764,20.85063362,10055.78125,16.6015625,20.79743004,13.24343205,-0.081038728,57.72960281,20.76264954,64.85613251,34.66533279,108.6442795,3914.227295,40.57822418,3.983397722,193.897644,103.2416077,199.8964691,179.5995636,79.57499695,2.723431587,0.430243164,-0.012294549,0.144757599,0.181910425,0.045556441,59.51969147,160.4914398,79.91640472,185.1789551,-0.221304223,-0.01653656,79.97026062,61.53986359,43.06022263,61.0307045,52.10254288,195.8688049
23.07.2021 18:00,1.974056006,1.342493057,13.23306274,20.92417336,10060.23633,19.85632896,20.85210991,13.31088066,-0.08051376,58.06150436,20.80071068,64.93834686,34.5833168,108.8973084,3921.484131,40.57875061,3.984022617,200.5979309,102.3374405,199.8774719,179.653183,79.61120606,2.726704359,0.43562749,-0.012285311,0.144770235,0.183791623,0.045583539,59.53451538,160.2528839,79.91841126,185.0220184,-0.219437256,-0.01731107,79.98830414,61.42276001,43.05599976,61.0357132,47.29431534,211.5505524
23.07.2021 19:00,1.98554337,1.149942517,13.29862785,20.95803642,10066.08106,16.97953796,20.96731186,13.37832928,-0.079988793,57.69506455,20.77898598,65.02056122,34.65635681,108.8020783,3929.189697,40.57928085,3.984647751,210.3870392,102.2343521,199.85849,179.1455689,79.7530365,2.730420589,0.439277262,-0.012292847,0.14547421,0.182373539,0.04561064,59.54933929,160.2769013,79.90203857,185.1114197,-0.22180374,-0.017993214,80.00635529,61.43453217,43.0517807,61.04072189,47.37390518,225.5237122
23.07.2021 20:00,2.052602768,1.274708748,13.36419296,21.20450974,10192.12402,16.6015625,21.13537026,13.44577789,-0.079463817,58.53945923,21.12614632,65.04821014,34.76008606,109.8436966,3930.718506,40.5798111,3.985272646,208.3680725,101.7536926,199.8394928,179.6931152,79.69828796,2.73413682,0.439652234,-0.012293674,0.145107225,0.182181254,0.045637742,59.53269196,159.8938294,79.96537018,184.9455261,-0.220568001,-0.016389906,80.02440643,61.36688232,43.04755783,61.09228134,47.49807358,221.2390137
23.07.2021 21:00,2.178318501,1.267818451,13.42975712,22.59038925,10950.22754,16.6015625,22.38568306,13.51220608,-0.078938849,59.96113205,22.45727348,64.39685822,37.16857529,118.1067352,3917.355713,40.58033752,3.985897541,206.4836273,102.0531006,199.8204956,179.929718,79.74481964,2.73785305,0.452890992,-0.012293041,0.145305142,0.183289617,0.045664843,59.55208206,159.9790344,79.66806793,184.9350891,-0.223199636,-0.017751902,80.0423584,61.65519714,43.75366974,61.37545776,47.38148117,207.190567
